,h_sales_code_hash,sales_code
0,96121cdd347fe43ff7524ecb89c73606569ad19d,Z5E
1,ce3b66732a923112382f94566cfd8dfb3f106455,M3B
2,43292a5e205e87cc0adcd63f46a5148ffa071e13,Z0R
3,73aa409b2220ff0e950d3122269d232f359ca037,V5O
4,f45f0c045e06daa9e9a19aa08d0f7feea409c83e,Q2G
5,e5e43dbed696daf53f2b0a79c80136f72beb4d18,D7A
6,817da67ca0c404d9b1df5d944639c25946ddb5b2,Q5L
7,e824711d6d6172c6ec0016fbd36bc2a071e77ed2,U8D
8,4e3370bee01ffb11be84e309dce1211a485144d6,C6F
9,70b27312fe8ef583313f8c5a24c68f6c638e8960,E5U
10,74dfe21c298497be4c6eb039ee62715acaa122cc,H8Z
11,c89ed3445cc12744f6780ee3db14edce5db855f9,Z6I
12,9bc146a615d9f4faa68950dc1febaeb3560fcc3c,Q2Q
13,8dcdab630fad739adcc4d3351886a457bbf6abb8,U1F
14,12790bb13c135d8b05d7732bf8c8af2549901fc5,C3N
15,5525570274bf74978a6106c6306840d333eda5f5,D1A
16,6c7b0e4f2d8192dc6562fd7645a047a33abd01ab,I1Q
17,536d02fb5ee4a4932591c0ecacf69fd2734c58ab,P5B
18,51b3477f5379ec417bb2e92733633158edd35959,T2V
19,448ccbbd5bf8cc2fcbc41e0bdb4e07cadba717b1,W3M
20,452b94605f5927f5a41f2f506346eeb9d9e94e47,X9W
21,7ffb9296882115499b42cc3f6c03f7f8142be3d4,K7E
22,9d8af0abc9c1c3272b73bd1bd76d2bb9f0eee348,T1R
23,13fe9cf13cdb5532f3d65d9bb7abdc391be8c2b5,P8A
24,a6c6b84d2469325c396f5942fbcf230705790ee2,K1E
25,299ae74e15514a59e21c93f20cf7623deb42d2fe,O7T
26,bdfe47c9668c20316b6508154aff1f2ceb8fe648,P8F
27,68f635da8ebc8cc949f285c15914290053676e1f,A4W
28,4c8a6b00b230c5bf15d6b7fc38e2a1d301149531,W2N
29,c340311d1be8039c9518bf629a5ce20b368c107f,C9E
30,f9f376e4bb819d389ad67ed210d769046ed8da10,Z8N
31,1b5381b77dfb6086242de3261b9ee669ca2f0db5,C4V
32,b5dc2b15f7301e7e2844f996fea8095e9ee9cfbd,C2G
33,40d14a9f2b8b6ab19f8b5ac990799b062cba619e,C5E
34,f1ce5153d372ead5dfa76a0420b755af600dcd49,Q7K
35,75fabc1ed2e2932c7a827c2678034db9d0b981be,E5D
36,0ae988d72b639b2f09bf2f61c95eff45dab0e835,V3K
37,94101e9b8118130ac2c6c45879baac978b02e753,M5B
38,b629c61bb7cbc420f445de876dc2020fdeeecba4,Q1N
39,0d5b8dbb86410f9d85e260ac42d9ee6342120486,Y1P
40,daca1a8085207bd4c0027d0869072b8e99cb1a85,Y4D
41,3ca67bbcf3336115a362d0d5068a4a5219294b40,N4Y
42,4ed13360f02b28cd9730f3e5afde8bc79373d6d5,Z8W
43,4775603a8c0f4b4255fed75e0a985230c2365506,F0R
44,5c6ccf47f063446162894dc8adeada30a384f628,J8Z
45,877abd0d0993cbf5e980d497b2412712d2b48fe3,D4U
46,dff812c3e8ac3e0102e0870735b308d9c4038952,P0C
47,a5048fe1b8b73065c2db1718a3d726056055c0b6,P6A
48,ce65dbac05d73f4fb1dbeff14264979ca57c2298,X1K
49,e3ce4a0678e6faa0946c0b24b5c1ea7ae0721b95,Z2S
50,95325c4f24b7a02e49c6a5de79c8ef28104c6718,Z1F
