,h_vehicle_hash,fin
0,22083509671c15de89023b70f217e541eade63c0,W1T70223174936103
1,878e623c14ce5c1bbcb8d3b71e14e6a4f5792581,NMB86747685691981
2,28c279d733fef61bd2a04b6aa4c00383694c4fc9,NMB59942357397064
3,ce6e7abdc3381e1ea92de0f9018bf5c7afe4c08f,WEB68780876276997
4,153aafd3fff2031aa6c022cbffd90fa114b00137,W1T82206893184944
5,9b67a091a60d8467979c1da3759bbdca35f4d69b,WEB65162754974219
6,064b13c97db68421f20cc60713cbd2c5eebcb308,NMB82420850006647
7,b0e0d86619b4b1863de57f46deead03a5c2bba40,W1T92656977738438
8,7ce50c581eaf2ab3a2957d06c697052ee4713673,WDB52835087076344
9,479fd18e1e16ad2f53584a1ca0b2965a43050292,WEB38931760289250
10,eec96202794de9078dd87697e14a3eac95432f63,W1T12436537814208
11,abb8a30bc7e934c4df8042bc0904e904268a461e,W1T20085967890154
12,a4580a5257aea1f2c736cc7e6bdc77b364805280,WEB59285083472413
13,44746ab87e6a8f5c21ea96809164673caf93b61b,WDB16505865998470
14,87b3b5d314c812fd71422f7321dd42d0d0728044,W1T53433477142056
15,ced861d6a2d8d64f3b36e3b88d79730a8bdbf04b,WEB98815049318581
16,36666161761b56ad449c3d5aee52d027c4001e74,WEB92612568956468
17,e9bda7399aecd8beaa5802c1a2e62e1fd6cdd060,NMB70181252443666
18,1c61a9ab1829263e5c6589c60fc4e56889343ec0,WDB55160093750785
19,bbc90e396d9a23d34f0419a6266aa9914935b40e,NMB96381798231213
20,336da0a95f2ebf5b798fb3761348f019ddc524d6,WDB53191813374517
21,a2f0e52890bf3f9a449b2633a81112470485600d,WEB15854302173780
22,b1074996de12a94622b9cffa010bb278a2411f48,WEB78542341011152
23,ccf6d8a89d0198a7a7acfd1239561c9f223c72d4,WEB34613056182634
24,3bac92efda242f067a8ce042d81b5330af75a860,NMB38511890940187
25,e38028d40d4b748c60c0b074933a7ccfc7178252,NMB76434461385476
26,807429d3d5c1046a2fb6056b21d39e992834993a,WDB18610451704705
27,54f46e13a57e54303f9c87fe1c6d4c0f5d28e64b,NMB44500457113550
28,0e067350832ba366d3a69f42f9a601b2a21d29d1,NMB45183359612537
29,b94d4dfa29ec13f7d991e19ec5a5bdb87dcacfe6,WDB37493164132389
30,f92a4d1c13b63bd6c15cde3e946edd45d69b2dcd,WDB21628214042621
31,21672a72ae9754b828d26633067158fdf0448e2e,WEB52613568832347
32,de6bd2174dce0065814bf97dce7123776f2488bf,NMB90710487899998
33,fc4ef9981448a8b2048b1992156f45ac3b85fde5,NMB97949635393118
34,7128269671cc21ded632588e60631cc0281a6288,W1T79471096153331
35,31cb019140a7ed6ca86bc867ceb3d1493ec11c61,WDB15664206174027
36,010c1de8ab4bbd05cf4e0f4e9c17473848184fd1,WDB88918744081559
37,32601051c50cd14acf5a61bb723a2a4d1f0c93a9,W1T39503175550537
38,cdc45e1923680bba01fc8e3ba4abc3c15a52e326,NMB59353059713499
39,42f6f8b648a1548ec62dc7a721e04fa2d5c92846,WDB65834441712833
40,b571613cff4a294a9c4bfdba2c561bcb28f88ef2,WEB44507932914180
41,d96824ec75ad312d39295bbfe82e7c1fb945d4ba,NMB10906742340704
42,096771fec5e731c3a806f8c7e4a200d5819eed26,WEB25338552152021
43,c4792a0344aaa7a99e794919229e381b2180e723,WDB59526692126976
44,10e0b56a12567d0dedb23a5b7b2c110338510186,WEB78687551660188
45,dd7e0ae41e4a7fa5f633b859548d21d7f08f2f5a,WDB57400218423929
46,efb9d1f7c5669255206d3c816d028441825fddcf,NMB84365652980874
47,6f3d01e0447f61691be876b1aead8a8ad484606c,WEB34289278257012
48,dd10027e0d95f7a915110aa0c4b05f4715eea02d,W1T90399951985342
49,c285b29130bfd54a8a52a5c39671c34ef9cd2ff5,WEB20347655635734
50,97c556b9179983d5d8c9219c36692dadfdac551b,WDB71938362241972
51,c1e0ee94dfabaa0d752cab99be4a6ee23b8545e3,NMB73003971803546
52,b7e80b4693ee3597b324ea01e3b76682ccb7769c,NMB67182047634454
53,49ad5a3eac955f4dde9f4c721bf861998f054b43,W1T78720249596451
54,55d5fcb3fd683dda7474d1fc164e1e893362bda6,WDB93114746404505
55,d97fbc68c2d2e927e6b21eddb9d9aa0721740d0b,W1T18750817242777
56,7e666bfdce0b358b866b241bd600a871048d97ba,WEB70991554204708
57,ad9f9f50a7e119b70288d38a5f2797225eea426e,WDB40567826752752
58,d2381359c02d7cca73d63949249469a5dd54a089,WEB93237575498942
59,81d7cf0d723c74567a1a99048069405650e2be7d,WDB85381093603639
60,6e0e3e83eeed195aa5907ac4787c4b9dda33b68a,WEB34499917951742
61,62ccfa943ec33cce06ae7ee68dfe7e0586f3fd30,WDB54765138748909
62,1b52da7ee52b6f8126c0c833d15bf451f96a87e8,WEB24216008701336
63,c04a599c0587701db3944f2eade1bf46d4c84090,WDB66827181479186
64,a301701fcb957decedc06365b69387debf7d55f5,WDB86833379895101
65,e091aeb8f274f989af5d745cb15614c3c6970679,WEB70163296291045
66,5813669ad35fcfc324bd52e5d81cbde13f033243,WDB22419462924488
67,00c6832c5907d3031a10353d0ee3efe70eafb22b,NMB48423878629112
68,7695ae67ca8cfb7801b37121343d5367f4805d3d,WDB25963271336011
69,02fd112c030216cae03e05eec741963ff855a322,W1T53394981177737
70,159a392075e891ace1fcff7361e3f14e8b9847a1,WDB59514293964568
71,46b7b5d7b9883a1ca5659e176a66243fd5e1332f,WEB84918780351545
72,37de822e8292ffade0984bbc053dfa9298072957,WDB13399151729978
73,c6fce9f3d721b2a2215987b453e68112776ea790,NMB92961992779715
74,a031e04eae7a0db7b0b265805accef2dbaa9e913,W1T26226288798363
75,c607057b29aaf4a4c6f067d26981efe0239ee94b,W1T47222571031049
76,e3d2e435f3f350d40a9a769e88ac73d91ca094a1,NMB90607303851849
77,6dbe3839a411cc01a62fa33e82fee503941374de,W1T89855766794525
78,5aef72d543822bb4f98704442f400dd4ecf02101,W1T48379567263709
79,66ae05e3081c6c2d17efd473232dcecfdd4ab783,NMB35597257720431
80,cc7659f8fbd03c0c2a34e2d9c32950481e28f7b4,W1T72052530441719
81,a9a48613a768da3527f9c44dc0f588486642fca4,NMB89185229670420
82,32aabb575892d82a2b43e1dcaef52aa044240652,WEB41529039501828
83,21de5d84b372a83551cdb0a91576668e9612236e,W1T51501535938286
84,f173d95358ed28d6fdce2880648a2a0c922dd9a8,WEB52693959882963
85,b1d2a29521a72cdea479e9b2c5a1ada8de1dfa47,WEB15558030446655
86,c67cdf493abc3b1ee5e045bd3f407a39f0137d56,WEB11446003994853
87,d42871cf0087bcb0d98f031f5347f56b50a0101d,WDB42739543047784
88,00ec76340cb63fcdc9a72c49a7c76ee2f6d499f0,WEB36362944941332
89,ef8096eb8a2296cb09f9f001d64ff34afa3ba18f,NMB15014163410864
90,a10fd50328ced37d6c5e688346731680774f7c90,NMB94361561600444
91,e8a942d1a6692a2324c38aad980ba7aa18938cca,W1T76481531070338
92,d404ca8062d03d84f61d2dcbd28ce5554ad6a59b,WEB67338446846387
93,c78c83734eb6e7c84a56c5b744852f3960e87def,W1T64694147499214
94,b5936c2a07a4422b393ba5feceb02ee0f919a4d2,WDB40696196587882
95,5943cfc3de5c6de551b63db44bd92af18a59c3ea,WDB21511568369560
96,05419840b88ad8d54a8989e9d73c528a2cec7408,NMB80458006651772
97,1be88906bf6c658cb4ca9dfe881631eb98005e9d,NMB33748142970792
98,6d08a4a21063846ea93ce6603a837c637a415c22,WDB55865890344291
99,63b11d7ee624cb8e6cc9da9d67f09ed6caabc787,WDB42709953297697
100,ac0731745d883e7f8095307f1d3cbe9cef437ef6,WEB33419719276960
101,b43876f410c5dee4c0b5c824b2b97fac4c9743f1,WEB54398735751019
102,467d8c95a7ded8628e8dad6686280ff26098bfbe,WEB66561819835651
103,17699cb7089e918d6ba9c7e37446ae81f45f6d70,WDB37679434664333
104,95168647fc7244239d1187eabd687ee1d9a4fda5,WEB42454940337646
105,b90bb0ef725954851dc49f82b06290f66d47dc14,W1T46078782574748
106,d12191f468f5ff43481e38ebc3200cf88f22c52b,W1T63290201046603
107,0ddbf85adbe3eaccabc67b312443ee584f3cd7de,W1T83499609186671
108,fb0246d09acf2ef582dab1a226db48d5b5557656,NMB94746563625333
109,997c6134203b523c21df665daf605f8450586cc8,NMB43638455742416
110,35b5216ee58cedc0fdf1b12001ac9f4f996fc8a6,WEB78110103319898
111,6cdfcfcd14ee716763d6881a70bb424ce0ff639b,NMB42711149938207
112,afd8271e6b9f76e93d15dd1178398955f1e9eadc,NMB32145908989214
113,ac7db19885da98fc747e963c6e656b46079384ed,W1T17907013979914
114,8ebd09ff29955767a15bda34f55f1d9c61def401,WEB55825434735346
115,bfe13a2dd9f434ac20ee0d9e32204887ee2fbe3b,W1T40433753486966
116,09bb3b4045a6235d998aa981f454115b8aa85e10,W1T13749816608890
117,3aad4d6c6a175891f1791cff440107b356efe83c,NMB23093722483116
118,5f7a5daf6b46f84d640e8dd80369a2c8dabb2e8c,W1T14492617510895
119,dc0f75c93ef6f00f1c4efa2bcb7009b6b3c892ec,WDB22823194682737
120,0de6504f76a3ea80c2a5671f54a081cdcba8e9b2,W1T96018128352528
121,f0df09072253363a7570787b108fb4576de0c8c0,W1T80704097842425
122,25feb09180523f1a3ab8ad6eceaa654d79e15ed7,WDB42061986919367
123,4b2a5066cb25c7315c19c31e0227395f0e931601,WEB56521625780793
124,6a2501fd2ef86cf3bcc7202a65c5266961deb7d9,W1T63647529248586
125,b29757a2bdfa7fddb275a5f1adabac5255d19553,WEB28654392992256
126,67820de85e632efadf1954cff09d9e68a5b3a4b4,WEB71513459207569
