,fin,wrnty_start_dt,sales_area_nm,prod_dt
0,W1T70223174936103,2019-09-21,833,2014-09-18
1,NMB86747685691981,2022-06-28,579,2011-11-19
2,NMB59942357397064,2023-09-04,619,2022-08-01
3,WEB68780876276997,2015-12-15,231,2014-07-16
4,W1T82206893184944,2020-07-23,682,2011-02-03
5,WEB65162754974219,2020-07-12,620,2019-01-18
6,NMB82420850006647,2023-03-05,812,2017-09-09
7,W1T92656977738438,2019-05-25,813,2014-01-06
8,WDB52835087076344,2021-01-25,863,2020-12-04
9,WEB38931760289250,2020-01-21,239,2019-02-22
10,W1T12436537814208,2021-01-15,637,2015-01-19
11,W1T20085967890154,2017-09-16,559,2016-03-01
12,WEB59285083472413,2019-06-07,902,2011-11-26
13,WDB16505865998470,2023-09-13,513,2022-08-24
14,W1T53433477142056,2020-04-27,631,2016-08-19
15,WEB98815049318581,2023-09-16,901,2022-11-23
16,WEB92612568956468,2023-09-17,683,2022-07-03
17,NMB70181252443666,2022-08-16,816,2014-09-13
18,WDB55160093750785,2022-07-29,739,2016-09-08
19,NMB96381798231213,2021-11-03,519,2016-11-23
20,WDB53191813374517,2017-01-09,291,2012-05-12
21,WEB15854302173780,2021-03-16,499,2021-01-23
22,WEB78542341011152,2018-03-28,414,2014-10-25
23,WEB34613056182634,2022-07-06,875,2019-02-28
24,NMB38511890940187,2018-05-20,196,2011-05-30
25,NMB76434461385476,2023-05-04,644,2021-08-01
26,WDB18610451704705,2019-12-30,519,2012-06-26
27,NMB44500457113550,2020-09-19,406,2018-06-09
28,NMB45183359612537,2021-10-10,772,2021-09-23
29,WDB37493164132389,2015-07-07,543,2013-10-17
30,WDB21628214042621,2020-12-15,918,2014-01-31
31,WEB52613568832347,2023-05-25,785,2023-04-22
32,NMB90710487899998,2022-03-29,729,2012-04-10
33,NMB97949635393118,2017-07-29,541,2015-08-18
34,W1T79471096153331,2018-10-13,731,2015-03-05
35,WDB15664206174027,2023-06-27,789,2023-01-26
36,WDB88918744081559,2022-10-13,635,2021-06-09
37,W1T39503175550537,2022-11-17,287,2016-09-05
38,NMB59353059713499,2017-11-20,515,2014-11-20
39,WDB65834441712833,2019-10-01,226,2014-10-02
40,WEB44507932914180,2022-07-28,653,2018-02-20
41,NMB10906742340704,2019-01-23,402,2013-12-09
42,WEB25338552152021,2023-08-12,819,2021-05-24
43,WDB59526692126976,2015-06-07,486,2013-06-29
44,WEB78687551660188,2015-04-25,281,2014-11-15
45,WDB57400218423929,2023-05-01,252,2022-08-09
46,NMB84365652980874,2018-05-10,254,2011-09-11
47,WEB34289278257012,2023-01-07,925,2019-09-06
48,W1T90399951985342,2017-08-25,835,2013-11-15
49,WEB20347655635734,2018-09-03,629,2018-06-27
50,WDB71938362241972,2016-04-19,556,2013-08-27
51,NMB73003971803546,2022-01-17,271,2020-08-02
52,NMB67182047634454,2022-10-18,741,2019-10-18
53,W1T78720249596451,2021-04-09,676,2020-05-14
54,WDB93114746404505,2022-10-19,569,2021-11-19
55,W1T18750817242777,2022-05-02,258,2016-07-28
56,WEB70991554204708,2014-07-17,270,2011-11-17
57,WDB40567826752752,2020-08-25,254,2015-09-29
58,WEB93237575498942,2021-03-12,364,2011-10-24
59,WDB85381093603639,2015-09-12,577,2012-03-05
60,WEB34499917951742,2015-07-11,495,2011-02-20
61,WDB54765138748909,2020-03-14,299,2017-03-18
62,WEB24216008701336,2022-02-06,930,2018-09-02
63,WDB66827181479186,2018-03-23,269,2014-12-29
64,WDB86833379895101,2016-12-04,528,2012-01-25
65,WEB70163296291045,2015-06-25,851,2014-01-06
66,WDB22419462924488,2022-05-26,718,2018-11-11
67,NMB48423878629112,2020-02-12,575,2020-02-01
68,WDB25963271336011,2013-04-27,210,2011-09-04
69,W1T53394981177737,2018-06-11,635,2015-10-10
70,WDB59514293964568,2017-11-20,933,2013-11-11
71,WEB84918780351545,2022-12-07,641,2022-02-18
72,WDB13399151729978,2021-09-21,803,2017-07-17
73,NMB92961992779715,2018-06-16,839,2017-06-08
74,W1T26226288798363,2019-07-31,847,2011-03-28
75,W1T47222571031049,2019-10-11,681,2016-05-17
76,NMB90607303851849,2022-12-31,227,2021-07-29
77,W1T89855766794525,2021-12-13,632,2014-05-15
78,W1T48379567263709,2014-11-30,215,2011-03-14
79,NMB35597257720431,2023-06-12,414,2021-07-15
80,W1T72052530441719,2022-06-11,646,2015-07-28
81,NMB89185229670420,2020-04-10,682,2020-02-16
82,WEB41529039501828,2023-05-22,563,2023-02-21
83,W1T51501535938286,2018-05-25,569,2014-02-17
84,WEB52693959882963,2018-06-14,733,2012-02-29
85,WEB15558030446655,2022-06-26,685,2020-02-26
86,WEB11446003994853,2017-06-12,544,2011-10-30
87,WDB42739543047784,2023-05-07,217,2022-12-26
88,WEB36362944941332,2023-04-20,879,2018-03-17
89,NMB15014163410864,2023-02-17,281,2022-11-25
90,NMB94361561600444,2020-09-29,928,2019-04-26
91,W1T76481531070338,2023-04-17,647,2022-11-29
92,WEB67338446846387,2015-06-20,667,2013-10-21
93,W1T64694147499214,2021-03-20,768,2017-03-01
94,WDB40696196587882,2019-09-07,577,2011-06-22
95,WDB21511568369560,2016-12-09,627,2012-01-06
96,NMB80458006651772,2016-02-21,645,2011-01-20
97,NMB33748142970792,2015-01-24,718,2013-06-13
98,WDB55865890344291,2015-07-05,411,2012-03-14
99,WDB42709953297697,2022-07-03,238,2012-10-26
100,WEB33419719276960,2021-03-08,729,2011-09-18
101,WEB54398735751019,2020-04-02,557,2018-09-07
102,WEB66561819835651,2022-04-28,645,2021-02-26
103,WDB37679434664333,2019-06-13,518,2015-09-17
104,WEB42454940337646,2014-02-02,275,2011-05-02
105,W1T46078782574748,2017-08-16,751,2011-08-09
106,W1T63290201046603,2023-09-03,411,2023-02-02
107,W1T83499609186671,2022-10-30,773,2021-06-21
108,NMB94746563625333,2019-06-04,550,2013-12-16
109,NMB43638455742416,2021-11-23,725,2021-01-24
110,WEB78110103319898,2021-09-12,583,2017-09-16
111,NMB42711149938207,2022-08-09,528,2020-12-19
112,NMB32145908989214,2021-07-27,400,2020-04-06
113,W1T17907013979914,2020-03-22,682,2018-06-23
114,WEB55825434735346,2022-07-27,873,2022-01-12
115,W1T40433753486966,2022-11-04,928,2020-08-01
116,W1T13749816608890,2020-03-26,669,2011-06-12
117,NMB23093722483116,2022-11-07,673,2021-06-20
118,W1T14492617510895,2017-06-22,411,2011-07-05
119,WDB22823194682737,2022-02-07,258,2019-12-16
120,W1T96018128352528,2023-06-13,490,2023-04-18
121,W1T80704097842425,2018-07-13,241,2011-12-02
122,WDB42061986919367,2015-07-03,703,2011-04-05
123,WEB56521625780793,2015-02-02,219,2014-09-17
124,W1T63647529248586,2018-09-04,682,2017-06-23
125,WEB28654392992256,2021-02-24,816,2020-10-23
126,WEB71513459207569,2014-10-21,581,2013-07-02
127,NMB50218073114134,2020-12-27,196,2014-11-10
128,WEB48520961809434,2018-04-03,520,2017-04-01
129,W1T10205091896967,2016-11-30,204,2012-02-08
130,NMB56804040948576,2016-01-06,667,2014-03-16
